,stats,,,,,,,,STWMBMMBW.10.,,,,,,STWMBMMBW.12.,,,,,,STWMBMMBW.14.,,,,,,STWMBMMBW.16.,,,,,,STWMBMMBW.18.,,,,,,STWMBMMBW.20.,,,,,
file,n,c,d,f,p,u,k,s,w,w_list,st,build,prop,ub,w,w_list,st,build,prop,ub,w,w_list,st,build,prop,ub,w,w_list,st,build,prop,ub,w,w_list,st,build,prop,ub,w,w_list,st,build,prop,ub
ID_from_BN_0_w28d6_limid,100,94,6,100,94,6,2,6,28,[28],7.328216314315796,12.873160600662231,0.16120243072509766,44.3038070921073,27,[27],7.199308633804321,22.217952966690063,0.1542978286743164,44.370834917458,26,[26],7.180172920227051,22.935510635375977,0.2264108657836914,44.08912213491356,27,[27],7.447870492935181,25.883237600326538,0.35962462425231934,44.196686370352914,27,[27],7.360913038253784,29.506527423858643,0.7926304340362549,44.02262409157767,26,[26],8.412810802459717,22.528826236724854,2.0812828540802,43.86144822957813
ID_from_BN_0_w29d6_limid,100,94,6,100,94,6,2,6,22,"[22, 1]",1.7319624423980713,16.127745628356934,0.13555240631103516,47.46965198655074,23,"[23, 1]",1.747093915939331,9.73488736152649,0.1477057933807373,47.20535236829349,21,"[21, 1]",1.7343924045562744,10.623224258422852,0.14208030700683594,46.26802350445556,23,"[23, 1]",1.7709522247314453,9.755417346954346,0.21096038818359375,45.72052264957183,22,"[22, 1]",1.7264089584350586,10.679524660110474,0.5034241676330566,45.41202058914994,22,"[22, 1]",1.1992220878601074,13.13898515701294,0.773195743560791,44.78857584141981
ID_from_BN_0_w32d11_limid,100,89,11,100,89,11,2,6,30,"[30, 1]",8.677584409713745,15.412217140197754,0.1881883144378662,83.81482927324602,32,"[32, 1]",8.606029033660889,17.850326776504517,0.18094348907470703,82.99735164119544,30,"[30, 1]",8.486048936843872,20.926727771759033,0.2564857006072998,83.54461223571512,30,"[30, 1]",8.543063640594482,14.19071888923645,0.4038536548614502,81.67641017582223,30,"[30, 1]",8.79422378540039,34.81567573547363,1.1271414756774902,81.33825094967032,31,"[31, 1]",8.578075408935547,17.149133682250977,2.244525909423828,81.73885205312845
ID_from_BN_0_w33d11_limid,100,89,11,100,89,11,2,6,33,"[33, 1]",15.220048189163208,12.361873149871826,0.18485713005065918,87.14302715474692,33,"[33, 1]",14.923298120498657,19.6635639667511,0.20106267929077148,87.22430382030007,33,"[33, 1]",15.330276727676392,16.300732851028442,0.22391724586486816,86.7940701285707,34,"[34, 1]",15.090810775756836,18.46639323234558,0.4152944087982178,86.14303735333672,33,"[33, 1]",14.943193912506104,20.552542686462402,1.1450293064117432,85.96466994272494,34,"[34, 1]",15.052455425262451,22.700318336486816,3.096879720687866,86.59838110618907
ID_from_BN_14w42d6_limid,115,109,6,115,109,6,2,8,35,[35],11.206516027450562,37.38827443122864,0.2508401870727539,45.2459234424793,34,[34],11.177767515182495,43.9543023109436,0.28312015533447266,45.07606571097213,34,[34],11.293367147445679,66.57008290290833,0.3543241024017334,44.76837196350457,36,[36],11.178642988204956,27.21570658683777,0.6925132274627686,43.797856255492654,33,[33],10.993861198425293,41.62621021270752,1.6162424087524414,43.72411243844069,33,[33],11.227190017700195,35.27336096763611,4.2636308670043945,43.61424367087787
ID_from_BN_14w57d12_limid,115,103,12,115,103,12,2,8,47,"[47, 1]",18.281117916107178,29.57826328277588,0.3349945545196533,94.45026173948189,45,"[45, 1]",18.175041913986206,69.14465737342834,0.34384608268737793,93.1566440607174,45,"[45, 1]",18.364177703857422,39.89430284500122,0.4313013553619385,92.40158399557755,46,"[46, 1]",30.410776376724243,109.94586157798767,1.0992560386657715,92.60783701395033,44,"[44, 1]",18.187294244766235,107.56545639038086,1.481598138809204,92.0967347782839,46,"[46, 1]",18.270557641983032,60.77276873588562,5.548797845840454,91.86911418266232
ID_from_BN_78_w18d3_limid,54,51,3,54,51,3,2,10,14,[14],0.9084460735321045,2.2436578273773193,0.051787614822387695,23.542522621048956,14,[14],0.6224703788757324,2.5569863319396973,0.05304098129272461,23.466019405072384,14,[14],0.6027147769927979,2.3953206539154053,0.03813743591308594,22.797601752191646,14,[14],0.6330816745758057,1.7678122520446777,0.0364224910736084,22.797601752191646,14,[14],0.6146063804626465,1.8382127285003662,0.04101252555847168,22.797601752191643,15,[15],0.6191227436065674,3.349987745285034,0.04724407196044922,22.797601752191646
ID_from_BN_78_w19d3_limid,54,51,3,54,51,3,2,10,17,"[17, 0]",0.8020830154418945,8.381149768829346,0.09254217147827148,24.0704260224406,17,"[17, 0]",1.3756403923034668,10.579232931137085,0.08150672912597656,23.89084791223097,17,"[17, 0]",0.7881531715393066,9.429596900939941,0.07804298400878906,23.48710606760134,17,"[17, 0]",0.7951221466064453,6.518672466278076,0.11966085433959961,23.483140366273084,17,"[17, 0]",0.7833096981048584,8.169861793518066,0.1641700267791748,23.280402573970527,17,"[17, 0]",0.8011629581451416,6.975519180297852,0.1519639492034912,23.280402573970527
ID_from_BN_78_w23d6_limid,54,48,6,54,48,6,2,10,18,[18],2.242248296737671,5.104388952255249,0.07872581481933594,46.96876617840899,18,[18],2.1916027069091797,4.347894906997681,0.07580280303955078,46.41309905708659,18,[18],2.2577154636383057,3.8153576850891113,0.10722589492797852,46.091778206759734,18,[18],2.233870506286621,3.9784905910491943,0.16422796249389648,45.3530451500866,18,[18],2.247194290161133,3.273846387863159,0.3719136714935303,45.20593564331262,17,[17],2.2828752994537354,3.660317897796631,0.23713445663452148,45.205935643312614
ID_from_BN_78_w24d6_limid,54,48,6,54,48,6,2,10,26,[26],1.1106417179107666,9.840684652328491,0.16919445991516113,48.72329228322586,25,[25],1.1056904792785645,12.883987665176392,0.1789398193359375,48.19977066028548,25,[25],1.087355375289917,8.934661865234375,0.21203827857971191,47.28943046862755,25,[25],1.1046574115753174,15.057204723358154,0.45374441146850586,46.546437932352895,26,[26],1.0938405990600586,13.566134452819824,1.1481447219848633,45.738298819877095,25,[25],1.1356866359710693,19.783263206481934,2.8560798168182373,46.0787835568032
mdp1-4_2_2_5_limid,25,20,5,30,20,10,2,4,5,"[1, 1, 4, 5, 5, 5]",0.578406572341919,0.34645676612854004,0.015209674835205078,3.7373008695814494,5,"[1, 1, 4, 5, 5, 5]",0.6011509895324707,0.36383652687072754,0.015620708465576172,3.7373008695814494,5,"[1, 1, 4, 5, 5, 5]",0.5945754051208496,0.3432157039642334,0.015298604965209961,3.7373008695814494,6,"[1, 1, 4, 6, 5, 5]",0.5969746112823486,0.37407922744750977,0.015125274658203125,3.7373008695814494,5,"[1, 1, 4, 5, 5, 5]",0.6034715175628662,0.3529646396636963,0.015301704406738281,3.7373008695814494,5,"[1, 1, 4, 5, 5, 5]",0.5985972881317139,0.3404388427734375,0.015311002731323242,3.7373008695814494
mdp10-32_3_8_4_limid,132,128,4,160,128,32,3,7,42,"[12, 4, 5, 3, 4, 3, 5, 30, 41, 42]",22.779194355010986,53.99389433860779,0.9156911373138428,37.96466991251496,43,"[12, 4, 5, 3, 4, 3, 5, 31, 42, 43]",21.280158042907715,58.69174289703369,1.0289208889007568,37.1422554486694,43,"[12, 4, 5, 3, 4, 3, 5, 30, 42, 43]",21.323382139205933,65.865243434906,1.7720210552215576,37.80923495251475,43,"[12, 4, 5, 3, 4, 3, 5, 31, 43, 43]",21.78140377998352,68.96002769470215,3.9426798820495605,35.98035479360268,42,"[12, 4, 5, 3, 4, 3, 5, 31, 41, 42]",22.077779531478882,74.64546990394592,10.68651533126831,35.86834721963537,42,"[12, 4, 5, 3, 4, 3, 5, 31, 42, 41]",21.619382858276367,104.21102476119995,35.72597026824951,33.38868226243422
mdp2-8_3_4_5_limid,45,40,5,60,40,20,3,5,10,"[3, 3, 2, 7, 10, 10, 10]",2.310392379760742,1.3556690216064453,0.08091926574707031,12.197174655866736,10,"[3, 3, 2, 7, 9, 10, 10]",2.3091025352478027,1.0363249778747559,0.08165907859802246,12.197174655866736,10,"[3, 3, 2, 7, 10, 10, 10]",2.299295663833618,1.2850186824798584,0.09334897994995117,12.197174655866736,10,"[3, 3, 2, 7, 10, 10, 10]",2.3469059467315674,1.1791868209838867,0.09152007102966309,12.197174655866736,10,"[3, 3, 2, 7, 10, 10, 10]",2.366825580596924,1.2464914321899414,0.11351346969604492,12.197174655866736,10,"[3, 3, 2, 7, 10, 10, 10]",2.369783878326416,1.2488582134246826,0.10523724555969238,12.197174655866736
mdp3-10_3_5_10_limid,110,100,10,150,100,50,3,6,15,"[6, 10, 3, 3, 7, 12, 14, 14, 14, 13, 15, 15, 14, 14]",25.734007120132446,19.014561414718628,1.077085018157959,43.40262612417789,15,"[6, 10, 3, 3, 7, 12, 13, 15, 14, 14, 14, 14, 14, 14]",26.04603934288025,22.23801040649414,2.794482469558716,37.370916721416,14,"[6, 10, 3, 3, 7, 11, 13, 14, 14, 14, 14, 13, 14, 14]",26.061403512954712,29.020435333251953,5.032454013824463,31.0849560474689,14,"[6, 10, 3, 3, 7, 11, 14, 14, 14, 14, 14, 14, 14, 13]",25.570748805999756,26.88852596282959,5.2047717571258545,31.0849560474689,14,"[6, 10, 3, 3, 7, 12, 14, 13, 13, 13, 13, 14, 13, 13]",26.22037935256958,27.282517433166504,5.089191198348999,31.0849560474689,14,"[6, 10, 3, 3, 7, 11, 14, 14, 13, 13, 14, 14, 13, 14]",25.675452947616577,32.54730844497681,4.628232002258301,31.0849560474689
mdp4-10_3_5_10_limid,110,100,10,150,100,50,3,6,14,"[7, 4, 13, 13, 13, 13, 13, 14, 13, 13, 14]",26.39180564880371,4.923204660415649,0.29932475090026855,39.11248215716322,14,"[7, 4, 13, 14, 14, 13, 13, 14, 14, 13, 13]",26.659311056137085,5.199246883392334,0.29494333267211914,35.653689185988306,14,"[7, 4, 13, 14, 14, 14, 13, 13, 13, 13, 13]",25.87537908554077,5.071425676345825,0.34482836723327637,32.725625579590066,14,"[7, 4, 13, 13, 13, 13, 13, 14, 13, 13, 13]",26.614240407943726,5.818751811981201,0.3478739261627197,32.725625579590066,14,"[7, 4, 13, 13, 14, 13, 14, 14, 14, 14, 13]",25.83754825592041,5.621949911117554,0.4023747444152832,32.725625579590066,14,"[7, 4, 12, 13, 13, 13, 13, 13, 13, 14, 14]",26.58072304725647,6.507471799850464,0.37707066535949707,32.725625579590066
mdp5-16_3_8_10_limid,170,160,10,240,160,80,3,7,21,"[7, 4, 5, 5, 5, 2, 5, 18, 21, 20, 21, 21, 21, 20, 21, 20]",73.79849982261658,28.736313343048096,1.6198344230651855,79.42157110264223,22,"[7, 4, 5, 5, 5, 2, 5, 18, 21, 21, 20, 21, 21, 20, 21, 22]",73.81447553634644,27.799643754959106,2.96238374710083,74.52813562721438,21,"[7, 4, 5, 5, 5, 2, 5, 18, 20, 21, 20, 21, 20, 20, 20, 20]",75.1942982673645,38.68297791481018,10.28339171409607,69.63305684191022,22,"[7, 4, 5, 5, 5, 2, 5, 20, 20, 20, 20, 20, 22, 21, 21, 21]",73.08397889137268,69.92970323562622,49.57569599151611,64.06437641465257,22,"[7, 4, 5, 5, 5, 2, 5, 19, 22, 21, 21, 21, 20, 21, 20, 21]",73.21695637702942,207.74368166923523,134.22915482521057,55.155608327713416,21,"[7, 4, 5, 5, 5, 2, 5, 19, 20, 21, 21, 21, 21, 20, 20, 20]",74.20737481117249,516.2051687240601,258.75222539901733,48.98441590778915
mdp6-20_5_5_5_limid,105,100,5,125,100,25,5,9,29,"[13, 4, 22, 29, 29, 29]",15.84747862815857,17.67290163040161,0.68184494972229,31.557061518159497,30,"[13, 4, 22, 29, 30, 29]",16.00796675682068,15.839553833007812,0.8167731761932373,30.64479531260988,30,"[13, 4, 21, 30, 29, 30]",16.58173418045044,17.951026678085327,1.1702239513397217,27.591857417148443,29,"[13, 4, 22, 29, 29, 28]",15.85750412940979,20.529569625854492,2.7568297386169434,25.557781698222044,30,"[13, 4, 22, 29, 30, 29]",15.988223314285278,27.652844429016113,8.408381700515747,24.635783612143822,29,"[13, 4, 23, 28, 29, 29]",16.448468923568726,45.71769452095032,22.559855937957764,21.126060774174206
mdp7-28_3_6_5_limid,145,140,5,170,140,30,3,9,40,"[9, 7, 6, 6, 4, 12, 9, 30, 40, 40, 40]",30.003923654556274,113.34046053886414,1.4074087142944336,44.01103889308246,41,"[9, 7, 6, 6, 4, 12, 10, 31, 40, 40, 41]",29.432600259780884,106.146240234375,1.5873875617980957,43.50706877718035,41,"[9, 7, 6, 6, 4, 12, 10, 30, 41, 40, 41]",29.3936710357666,90.9921305179596,2.5068793296813965,42.96242376162294,40,"[9, 7, 6, 6, 4, 12, 10, 30, 40, 40, 40]",29.018332481384277,134.1398584842682,5.716325044631958,41.29104043595183,40,"[9, 7, 6, 6, 4, 12, 10, 30, 39, 40, 39]",29.270745754241943,112.50794720649719,18.415451526641846,38.60346231508122,41,"[9, 7, 6, 6, 4, 12, 10, 30, 41, 40, 40]",28.979936122894287,152.43009614944458,55.73237061500549,34.89804360300774
mdp8-28_3_6_4_limid,116,112,4,136,112,24,3,9,42,"[7, 33, 4, 6, 6, 6, 5, 42, 41]",12.747177839279175,39.36276578903198,0.9181373119354248,32.42294014679191,42,"[7, 33, 4, 6, 6, 6, 5, 41, 42]",8.287777185440063,31.966519355773926,0.610912561416626,31.456603239611585,40,"[7, 33, 4, 6, 6, 6, 5, 40, 40]",12.703868627548218,51.17152953147888,1.5256702899932861,31.295104206103613,41,"[7, 33, 4, 6, 6, 6, 5, 41, 41]",12.232237339019775,38.60302519798279,3.4847357273101807,28.999016577347405,41,"[7, 33, 4, 6, 6, 6, 5, 41, 40]",12.19939923286438,48.41044759750366,13.507810115814209,29.023153802706826,41,"[7, 33, 4, 6, 6, 6, 5, 41, 41]",12.060547113418579,87.01773262023926,37.12326240539551,27.774282517303835
mdp9-32_3_8_3_limid,99,96,3,120,96,24,3,9,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.184814453125,52.73690319061279,0.7277035713195801,25.22924114075729,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.2339513301849365,50.42471647262573,0.7609043121337891,24.733487558262386,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.191982269287109,52.56815791130066,1.2229869365692139,24.24772181027611,44,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 44]",7.125027894973755,38.88376975059509,2.650393009185791,24.219870293232766,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.269410610198975,51.53489446640015,6.815508604049683,22.478374838795016,45,"[10, 5, 6, 5, 4, 5, 3, 8, 8, 34, 45]",7.34061598777771,68.73281383514404,22.991674661636353,22.293121494491533
