file,n,c,d,f,p,u,k,s
ID_from_BN_0_w28d6_std_10,100,94,6,100,94,6,2,6
ID_from_BN_0_w29d6_std_10,100,94,6,100,94,6,2,6
ID_from_BN_0_w32d11_std_10,100,89,11,100,89,11,2,6
ID_from_BN_0_w33d11_std_10,100,89,11,100,89,11,2,6
ID_from_BN_14w42d6_std_10,115,109,6,115,109,6,2,8
ID_from_BN_14w57d12_std_10,115,103,12,115,103,12,2,8
ID_from_BN_78_w18d3_std_10,54,51,3,54,51,3,2,10
ID_from_BN_78_w19d3_std_10,54,51,3,54,51,3,2,10
ID_from_BN_78_w23d6_std_10,54,48,6,54,48,6,2,10
ID_from_BN_78_w24d6_std_10,54,48,6,54,48,6,2,10
mdp1-4_2_2_5_std_10,25,20,5,30,20,10,2,4
mdp10-32_3_8_4_std_10,132,128,4,160,128,32,3,7
mdp2-8_3_4_5_std_10,45,40,5,60,40,20,3,5
mdp3-10_3_5_10_std_10,110,100,10,150,100,50,3,6
mdp4-10_3_5_10_std_10,110,100,10,150,100,50,3,6
mdp5-16_3_8_10_std_10,170,160,10,240,160,80,3,7
mdp6-20_5_5_5_std_10,105,100,5,125,100,25,5,9
mdp7-28_3_6_5_std_10,145,140,5,170,140,30,3,9
mdp8-28_3_6_4_std_10,116,112,4,136,112,24,3,9
mdp9-32_3_8_3_std_10,99,96,3,120,96,24,3,9
pomdp1-4_2_2_2_3_std_10,21,18,3,24,18,6,2,4
pomdp10-12_7_3_8_4_std_10,80,76,4,108,76,32,3,5
pomdp2-2_2_2_2_3_std_10,15,12,3,18,12,6,2,3
pomdp3-4_4_2_2_3_std_10,27,24,3,30,24,6,2,4
pomdp4-4_4_2_2_5_std_10,45,40,5,50,40,10,2,4
pomdp5-6_4_3_5_3_std_10,33,30,3,45,30,15,3,5
pomdp6-12_6_2_6_3_std_10,57,54,3,72,54,18,2,9
pomdp7-20_10_2_10_3_std_10,93,90,3,120,90,30,2,9
pomdp8-14_9_3_12_4_std_10,96,92,4,140,92,48,3,6
pomdp9-14_8_3_10_4_std_10,92,88,4,128,88,40,3,6
rand-c20d2o1-01_std_10,22,20,2,22,20,2,2,3
rand-c30d3o1-01_std_10,33,30,3,33,30,3,2,3
rand-c30d6o1-01_std_10,36,30,6,36,30,6,2,3
rand-c30d9o1-01_std_10,39,30,9,39,30,9,2,3
rand-c50d10o1-01_std_10,60,50,10,60,50,10,2,3
rand-c50d15o1-03_std_10,65,50,15,65,50,15,2,3
rand-c50d5o1-01_std_10,55,50,5,55,50,5,2,3
rand-c70d14o1-01_std_10,84,70,14,84,70,14,2,3
rand-c70d21o1-01_std_10,91,70,21,91,70,21,2,3
rand-c70d7o1-01_std_10,77,70,7,77,70,7,2,3
