file,n,c,d,f,p,u,k,s
sysadmin_inst_mdp_10_s=50_t=10,1110,610,500,1610,610,1000,3,11
sysadmin_inst_mdp_10_s=50_t=3,368,218,150,518,218,300,3,11
sysadmin_inst_mdp_10_s=50_t=4,474,274,200,674,274,400,3,11
sysadmin_inst_mdp_10_s=50_t=5,580,330,250,830,330,500,3,11
sysadmin_inst_mdp_10_s=50_t=6,686,386,300,986,386,600,3,11
sysadmin_inst_mdp_10_s=50_t=7,792,442,350,1142,442,700,3,11
sysadmin_inst_mdp_10_s=50_t=8,898,498,400,1298,498,800,3,11
sysadmin_inst_mdp_10_s=50_t=9,1004,554,450,1454,554,900,3,11
sysadmin_inst_mdp_1_s=10_t=10,240,140,100,340,140,200,3,6
sysadmin_inst_mdp_1_s=10_t=3,79,49,30,109,49,60,3,6
sysadmin_inst_mdp_1_s=10_t=4,102,62,40,142,62,80,3,6
sysadmin_inst_mdp_1_s=10_t=5,125,75,50,175,75,100,3,6
sysadmin_inst_mdp_1_s=10_t=6,148,88,60,208,88,120,3,6
sysadmin_inst_mdp_1_s=10_t=7,171,101,70,241,101,140,3,6
sysadmin_inst_mdp_1_s=10_t=8,194,114,80,274,114,160,3,6
sysadmin_inst_mdp_1_s=10_t=9,217,127,90,307,127,180,3,6
sysadmin_inst_mdp_2_s=10_t=10,240,140,100,340,140,200,3,7
sysadmin_inst_mdp_2_s=10_t=3,79,49,30,109,49,60,3,7
sysadmin_inst_mdp_2_s=10_t=4,102,62,40,142,62,80,3,7
sysadmin_inst_mdp_2_s=10_t=5,125,75,50,175,75,100,3,7
sysadmin_inst_mdp_2_s=10_t=6,148,88,60,208,88,120,3,7
sysadmin_inst_mdp_2_s=10_t=7,171,101,70,241,101,140,3,7
sysadmin_inst_mdp_2_s=10_t=8,194,114,80,274,114,160,3,7
sysadmin_inst_mdp_2_s=10_t=9,217,127,90,307,127,180,3,7
sysadmin_inst_mdp_3_s=20_t=10,460,260,200,660,260,400,3,8
sysadmin_inst_mdp_3_s=20_t=3,152,92,60,212,92,120,3,8
sysadmin_inst_mdp_3_s=20_t=4,196,116,80,276,116,160,3,8
sysadmin_inst_mdp_3_s=20_t=5,240,140,100,340,140,200,3,8
sysadmin_inst_mdp_3_s=20_t=6,284,164,120,404,164,240,3,8
sysadmin_inst_mdp_3_s=20_t=7,328,188,140,468,188,280,3,8
sysadmin_inst_mdp_3_s=20_t=8,372,212,160,532,212,320,3,8
sysadmin_inst_mdp_3_s=20_t=9,416,236,180,596,236,360,3,8
sysadmin_inst_mdp_4_s=20_t=10,460,260,200,660,260,400,3,10
sysadmin_inst_mdp_4_s=20_t=3,152,92,60,212,92,120,3,10
sysadmin_inst_mdp_4_s=20_t=4,196,116,80,276,116,160,3,10
sysadmin_inst_mdp_4_s=20_t=5,240,140,100,340,140,200,3,10
