file,n,c,d,f,p,u,k,s
sysadmin_inst_pomdp_10_s=50_t=10,1620,1120,500,2120,1120,1000,3,10
sysadmin_inst_pomdp_10_s=50_t=3,521,371,150,671,371,300,3,10
sysadmin_inst_pomdp_10_s=50_t=4,678,478,200,878,478,400,3,10
sysadmin_inst_pomdp_10_s=50_t=5,835,585,250,1085,585,500,3,10
sysadmin_inst_pomdp_10_s=50_t=6,992,692,300,1292,692,600,3,10
sysadmin_inst_pomdp_10_s=50_t=7,1149,799,350,1499,799,700,3,10
sysadmin_inst_pomdp_10_s=50_t=8,1306,906,400,1706,906,800,3,10
sysadmin_inst_pomdp_10_s=50_t=9,1463,1013,450,1913,1013,900,3,10
sysadmin_inst_pomdp_1_s=10_t=10,340,240,100,440,240,200,3,6
sysadmin_inst_pomdp_1_s=10_t=3,109,79,30,139,79,60,3,6
sysadmin_inst_pomdp_1_s=10_t=4,142,102,40,182,102,80,3,6
sysadmin_inst_pomdp_1_s=10_t=5,175,125,50,225,125,100,3,6
sysadmin_inst_pomdp_1_s=10_t=6,208,148,60,268,148,120,3,6
sysadmin_inst_pomdp_1_s=10_t=7,241,171,70,311,171,140,3,6
sysadmin_inst_pomdp_1_s=10_t=8,274,194,80,354,194,160,3,6
sysadmin_inst_pomdp_1_s=10_t=9,307,217,90,397,217,180,3,6
sysadmin_inst_pomdp_2_s=10_t=10,340,240,100,440,240,200,3,7
sysadmin_inst_pomdp_2_s=10_t=3,109,79,30,139,79,60,3,7
sysadmin_inst_pomdp_2_s=10_t=4,142,102,40,182,102,80,3,7
sysadmin_inst_pomdp_2_s=10_t=5,175,125,50,225,125,100,3,7
sysadmin_inst_pomdp_2_s=10_t=6,208,148,60,268,148,120,3,7
sysadmin_inst_pomdp_2_s=10_t=7,241,171,70,311,171,140,3,7
sysadmin_inst_pomdp_2_s=10_t=8,274,194,80,354,194,160,3,7
sysadmin_inst_pomdp_2_s=10_t=9,307,217,90,397,217,180,3,7
sysadmin_inst_pomdp_3_s=20_t=10,670,470,200,870,470,400,3,7
sysadmin_inst_pomdp_3_s=20_t=3,215,155,60,275,155,120,3,7
sysadmin_inst_pomdp_3_s=20_t=4,280,200,80,360,200,160,3,7
sysadmin_inst_pomdp_3_s=20_t=5,345,245,100,445,245,200,3,7
sysadmin_inst_pomdp_3_s=20_t=6,410,290,120,530,290,240,3,7
sysadmin_inst_pomdp_3_s=20_t=7,475,335,140,615,335,280,3,7
sysadmin_inst_pomdp_3_s=20_t=8,540,380,160,700,380,320,3,7
sysadmin_inst_pomdp_3_s=20_t=9,605,425,180,785,425,360,3,7
sysadmin_inst_pomdp_4_s=20_t=10,660,460,200,860,460,400,3,8
sysadmin_inst_pomdp_4_s=20_t=3,212,152,60,272,152,120,3,8
sysadmin_inst_pomdp_4_s=20_t=4,276,196,80,356,196,160,3,8
sysadmin_inst_pomdp_4_s=20_t=5,340,240,100,440,240,200,3,8
sysadmin_inst_pomdp_4_s=20_t=6,404,284,120,524,284,240,3,8
sysadmin_inst_pomdp_4_s=20_t=7,468,328,140,608,328,280,3,8
sysadmin_inst_pomdp_4_s=20_t=8,532,372,160,692,372,320,3,8
sysadmin_inst_pomdp_4_s=20_t=9,596,416,180,776,416,360,3,8
sysadmin_inst_pomdp_5_s=30_t=10,980,680,300,1280,680,600,3,10
sysadmin_inst_pomdp_5_s=30_t=3,315,225,90,405,225,180,3,10
sysadmin_inst_pomdp_5_s=30_t=4,410,290,120,530,290,240,3,10
sysadmin_inst_pomdp_5_s=30_t=5,505,355,150,655,355,300,3,10
sysadmin_inst_pomdp_5_s=30_t=6,600,420,180,780,420,360,3,10
sysadmin_inst_pomdp_5_s=30_t=7,695,485,210,905,485,420,3,10
sysadmin_inst_pomdp_5_s=30_t=8,790,550,240,1030,550,480,3,10
sysadmin_inst_pomdp_5_s=30_t=9,885,615,270,1155,615,540,3,10
sysadmin_inst_pomdp_6_s=30_t=10,980,680,300,1280,680,600,3,9
sysadmin_inst_pomdp_6_s=30_t=3,315,225,90,405,225,180,3,9
sysadmin_inst_pomdp_6_s=30_t=4,410,290,120,530,290,240,3,9
sysadmin_inst_pomdp_6_s=30_t=5,505,355,150,655,355,300,3,9
sysadmin_inst_pomdp_6_s=30_t=6,600,420,180,780,420,360,3,9
sysadmin_inst_pomdp_6_s=30_t=7,695,485,210,905,485,420,3,9
sysadmin_inst_pomdp_6_s=30_t=8,790,550,240,1030,550,480,3,9
sysadmin_inst_pomdp_6_s=30_t=9,885,615,270,1155,615,540,3,9
sysadmin_inst_pomdp_7_s=40_t=10,1310,910,400,1710,910,800,3,8
sysadmin_inst_pomdp_7_s=40_t=3,421,301,120,541,301,240,3,8
sysadmin_inst_pomdp_7_s=40_t=4,548,388,160,708,388,320,3,8
sysadmin_inst_pomdp_7_s=40_t=5,675,475,200,875,475,400,3,8
sysadmin_inst_pomdp_7_s=40_t=6,802,562,240,1042,562,480,3,8
sysadmin_inst_pomdp_7_s=40_t=7,929,649,280,1209,649,560,3,8
sysadmin_inst_pomdp_7_s=40_t=8,1056,736,320,1376,736,640,3,8
sysadmin_inst_pomdp_7_s=40_t=9,1183,823,360,1543,823,720,3,8
sysadmin_inst_pomdp_8_s=40_t=10,1290,890,400,1690,890,800,3,11
sysadmin_inst_pomdp_8_s=40_t=3,415,295,120,535,295,240,3,11
sysadmin_inst_pomdp_8_s=40_t=4,540,380,160,700,380,320,3,11
sysadmin_inst_pomdp_8_s=40_t=5,665,465,200,865,465,400,3,11
sysadmin_inst_pomdp_8_s=40_t=6,790,550,240,1030,550,480,3,11
sysadmin_inst_pomdp_8_s=40_t=7,915,635,280,1195,635,560,3,11
sysadmin_inst_pomdp_8_s=40_t=8,1040,720,320,1360,720,640,3,11
sysadmin_inst_pomdp_8_s=40_t=9,1165,805,360,1525,805,720,3,11
sysadmin_inst_pomdp_9_s=50_t=10,1620,1120,500,2120,1120,1000,3,10
sysadmin_inst_pomdp_9_s=50_t=3,521,371,150,671,371,300,3,10
sysadmin_inst_pomdp_9_s=50_t=4,678,478,200,878,478,400,3,10
sysadmin_inst_pomdp_9_s=50_t=5,835,585,250,1085,585,500,3,10
sysadmin_inst_pomdp_9_s=50_t=6,992,692,300,1292,692,600,3,10
sysadmin_inst_pomdp_9_s=50_t=7,1149,799,350,1499,799,700,3,10
sysadmin_inst_pomdp_9_s=50_t=8,1306,906,400,1706,906,800,3,10
sysadmin_inst_pomdp_9_s=50_t=9,1463,1013,450,1913,1013,900,3,10
