file,count,w,w_list,st,build,prop,ub
sysadmin_inst_pomdp_10_s=50_t=3,sysadmin_inst_pomdp_10_s=50_t=3,300,[300],,6218.221831560135,30.74255871772766,180.25733580727933
sysadmin_inst_pomdp_10_s=50_t=4,sysadmin_inst_pomdp_10_s=50_t=4,400,[400],,14291.731847047806,41.453776597976685,253.04347441888694
sysadmin_inst_pomdp_10_s=50_t=5,sysadmin_inst_pomdp_10_s=50_t=5,500,[500],,36031.23095488548,46.87881255149841,331.10776120790354
sysadmin_inst_pomdp_10_s=50_t=6,sysadmin_inst_pomdp_10_s=50_t=6,600,[600],,66789.06115221977,58.73426818847656,409.4564408255286
sysadmin_inst_pomdp_1_s=10_t=10,sysadmin_inst_pomdp_1_s=10_t=10,200,[200],,665.6392722129822,13.951534271240234,127.46284605727459
sysadmin_inst_pomdp_1_s=10_t=3,sysadmin_inst_pomdp_1_s=10_t=3,60,[60],,22.63993263244629,2.7337589263916016,34.52743470778523
sysadmin_inst_pomdp_1_s=10_t=4,sysadmin_inst_pomdp_1_s=10_t=4,80,[80],,54.31320333480835,3.597736120223999,47.72255263094096
sysadmin_inst_pomdp_1_s=10_t=5,sysadmin_inst_pomdp_1_s=10_t=5,100,[100],,102.71634411811829,4.6478729248046875,61.94580120417824
sysadmin_inst_pomdp_1_s=10_t=6,sysadmin_inst_pomdp_1_s=10_t=6,120,[120],,160.53321838378906,7.378615379333496,74.43273708403842
sysadmin_inst_pomdp_1_s=10_t=7,sysadmin_inst_pomdp_1_s=10_t=7,140,[140],,211.74604535102844,8.848506450653076,88.58318604015986
sysadmin_inst_pomdp_1_s=10_t=8,sysadmin_inst_pomdp_1_s=10_t=8,160,[160],,283.6522469520569,9.411063432693481,104.37574271762666
sysadmin_inst_pomdp_1_s=10_t=9,sysadmin_inst_pomdp_1_s=10_t=9,180,[180],,427.3280494213104,11.192410469055176,113.96442474754193
sysadmin_inst_pomdp_2_s=10_t=10,sysadmin_inst_pomdp_2_s=10_t=10,200,[200],,702.5150244235992,13.729251623153687,135.21030913789474
sysadmin_inst_pomdp_2_s=10_t=3,sysadmin_inst_pomdp_2_s=10_t=3,60,[60],,34.74130582809448,4.562099933624268,34.858331154900654
sysadmin_inst_pomdp_2_s=10_t=4,sysadmin_inst_pomdp_2_s=10_t=4,80,[80],,58.71970176696777,5.368905782699585,48.900586419218385
sysadmin_inst_pomdp_2_s=10_t=5,sysadmin_inst_pomdp_2_s=10_t=5,100,[100],,114.46981620788574,8.084473371505737,62.90219920453791
sysadmin_inst_pomdp_2_s=10_t=6,sysadmin_inst_pomdp_2_s=10_t=6,120,[120],,172.80685448646545,7.306007146835327,77.9647101598612
sysadmin_inst_pomdp_2_s=10_t=7,sysadmin_inst_pomdp_2_s=10_t=7,140,[140],,277.07245802879333,12.356041431427002,92.12606096682072
sysadmin_inst_pomdp_2_s=10_t=8,sysadmin_inst_pomdp_2_s=10_t=8,160,[160],,379.35180401802063,10.601500988006592,105.69559811525426
sysadmin_inst_pomdp_2_s=10_t=9,sysadmin_inst_pomdp_2_s=10_t=9,180,[180],,527.1903214454651,13.460030317306519,119.56039630314186
sysadmin_inst_pomdp_3_s=20_t=10,sysadmin_inst_pomdp_3_s=20_t=10,401,[401],,7869.245650291443,30.486868381500244,256.6777418718254
sysadmin_inst_pomdp_3_s=20_t=3,sysadmin_inst_pomdp_3_s=20_t=3,120,[120],,188.13962602615356,7.7804343700408936,68.61899246801168
sysadmin_inst_pomdp_3_s=20_t=4,sysadmin_inst_pomdp_3_s=20_t=4,160,[160],,324.5831689834595,9.994349956512451,96.69697580279254
sysadmin_inst_pomdp_3_s=20_t=5,sysadmin_inst_pomdp_3_s=20_t=5,200,[200],,1191.2140221595764,13.73129677772522,124.74172657251009
sysadmin_inst_pomdp_3_s=20_t=6,sysadmin_inst_pomdp_3_s=20_t=6,240,[240],,2089.5145065784454,14.028822660446167,152.38991470248422
sysadmin_inst_pomdp_3_s=20_t=7,sysadmin_inst_pomdp_3_s=20_t=7,281,[281],,2350.7546005249023,21.08302140235901,176.21331293530307
sysadmin_inst_pomdp_3_s=20_t=8,sysadmin_inst_pomdp_3_s=20_t=8,320,[320],,3499.3410308361053,16.549925088882446,204.28802273609153
sysadmin_inst_pomdp_3_s=20_t=9,sysadmin_inst_pomdp_3_s=20_t=9,360,[360],,9514.101042747498,24.77169394493103,231.79070835102436
sysadmin_inst_pomdp_4_s=20_t=10,sysadmin_inst_pomdp_4_s=20_t=10,400,[400],,7471.067519903183,31.14966106414795,280.40155686881894
sysadmin_inst_pomdp_4_s=20_t=3,sysadmin_inst_pomdp_4_s=20_t=3,120,[120],,264.041490316391,9.815668821334839,72.95337858049373
sysadmin_inst_pomdp_4_s=20_t=4,sysadmin_inst_pomdp_4_s=20_t=4,160,[160],,590.606463432312,12.070026159286499,101.97015019017118
sysadmin_inst_pomdp_4_s=20_t=5,sysadmin_inst_pomdp_4_s=20_t=5,200,[200],,1079.7651484012604,15.801556825637817,131.51099215613215
sysadmin_inst_pomdp_4_s=20_t=6,sysadmin_inst_pomdp_4_s=20_t=6,240,[240],,2387.358193397522,22.910608291625977,161.9565181892094
sysadmin_inst_pomdp_4_s=20_t=7,sysadmin_inst_pomdp_4_s=20_t=7,280,[280],,3200.625913143158,22.387800693511963,191.32143566590645
sysadmin_inst_pomdp_4_s=20_t=8,sysadmin_inst_pomdp_4_s=20_t=8,320,[320],,4147.279581308365,22.6000919342041,219.0813614420088
sysadmin_inst_pomdp_4_s=20_t=9,sysadmin_inst_pomdp_4_s=20_t=9,360,[360],,5633.267622232437,28.990578651428223,253.0645889011033
sysadmin_inst_pomdp_5_s=30_t=10,sysadmin_inst_pomdp_5_s=30_t=10,601,[601],,34135.95334434509,44.595906019210815,395.41253401135816
sysadmin_inst_pomdp_5_s=30_t=3,sysadmin_inst_pomdp_5_s=30_t=3,180,[180],,937.9976601600647,9.16609501838684,106.39517082563438
sysadmin_inst_pomdp_5_s=30_t=4,sysadmin_inst_pomdp_5_s=30_t=4,241,[241],,2372.4753959178925,15.765937805175781,144.42323922281216
sysadmin_inst_pomdp_5_s=30_t=5,sysadmin_inst_pomdp_5_s=30_t=5,301,[301],,2839.713742017746,17.610608100891113,185.90801825483922
sysadmin_inst_pomdp_5_s=30_t=6,sysadmin_inst_pomdp_5_s=30_t=6,361,[361],,6969.256584644318,23.20804738998413,229.70115531581934
sysadmin_inst_pomdp_5_s=30_t=7,sysadmin_inst_pomdp_5_s=30_t=7,421,[421],,10044.12235713005,29.837682247161865,273.7169567834451
sysadmin_inst_pomdp_5_s=30_t=8,sysadmin_inst_pomdp_5_s=30_t=8,481,[481],,14583.437599420547,32.884199380874634,311.68963316578777
sysadmin_inst_pomdp_5_s=30_t=9,sysadmin_inst_pomdp_5_s=30_t=9,541,[541],,33271.318568229675,35.13219738006592,354.36985647882193
sysadmin_inst_pomdp_6_s=30_t=10,sysadmin_inst_pomdp_6_s=30_t=10,600,[600],,44626.914066791534,53.749807834625244,420.1730729805762
sysadmin_inst_pomdp_6_s=30_t=3,sysadmin_inst_pomdp_6_s=30_t=3,180,[180],,1282.1813418865204,15.041266202926636,110.58044495476862
sysadmin_inst_pomdp_6_s=30_t=4,sysadmin_inst_pomdp_6_s=30_t=4,240,[240],,1802.1496663093567,18.32213044166565,155.24211324685328
sysadmin_inst_pomdp_6_s=30_t=5,sysadmin_inst_pomdp_6_s=30_t=5,300,[300],,5595.858890295029,25.732199907302856,198.05075655534588
sysadmin_inst_pomdp_6_s=30_t=6,sysadmin_inst_pomdp_6_s=30_t=6,360,[360],,7660.914577484131,28.825948238372803,244.68023671006478
sysadmin_inst_pomdp_6_s=30_t=7,sysadmin_inst_pomdp_6_s=30_t=7,420,[420],,13779.121549606323,34.62691020965576,288.30097484319003
sysadmin_inst_pomdp_6_s=30_t=8,sysadmin_inst_pomdp_6_s=30_t=8,480,[480],,18581.5840818882,39.10544800758362,331.8301602276293
sysadmin_inst_pomdp_6_s=30_t=9,sysadmin_inst_pomdp_6_s=30_t=9,540,[540],,25503.958728790283,47.46648359298706,382.7456802466945
sysadmin_inst_pomdp_7_s=40_t=10,sysadmin_inst_pomdp_7_s=40_t=10,801,[801],,101193.09942913055,64.23454117774963,526.0122302989652
sysadmin_inst_pomdp_7_s=40_t=3,sysadmin_inst_pomdp_7_s=40_t=3,240,[240],,2101.666890859604,20.436406135559082,137.67871631136794
sysadmin_inst_pomdp_7_s=40_t=4,sysadmin_inst_pomdp_7_s=40_t=4,320,[320],,6253.304748535156,25.071908712387085,195.34537051754756
sysadmin_inst_pomdp_7_s=40_t=5,sysadmin_inst_pomdp_7_s=40_t=5,400,[400],,10523.784290790558,32.70594835281372,247.6238521406686
sysadmin_inst_pomdp_7_s=40_t=6,sysadmin_inst_pomdp_7_s=40_t=6,480,[480],,20155.687151908875,39.2193021774292,304.7799282740364
sysadmin_inst_pomdp_7_s=40_t=7,sysadmin_inst_pomdp_7_s=40_t=7,561,[561],,25413.115170240402,45.76082444190979,361.47247484350754
sysadmin_inst_pomdp_7_s=40_t=8,sysadmin_inst_pomdp_7_s=40_t=8,640,[640],,64872.24353146553,56.802295207977295,414.4866235296599
sysadmin_inst_pomdp_7_s=40_t=9,sysadmin_inst_pomdp_7_s=40_t=9,721,[721],,67041.56810045242,59.006555795669556,473.5866835560039
sysadmin_inst_pomdp_8_s=40_t=10,sysadmin_inst_pomdp_8_s=40_t=10,800,[800],,88845.17980313301,73.35869669914246,568.4871100006311
sysadmin_inst_pomdp_8_s=40_t=3,sysadmin_inst_pomdp_8_s=40_t=3,240,[240],,2903.34445476532,23.499945402145386,145.58759261560138
sysadmin_inst_pomdp_8_s=40_t=4,sysadmin_inst_pomdp_8_s=40_t=4,320,[320],,12605.08148932457,30.763701677322388,207.96016574502272
sysadmin_inst_pomdp_8_s=40_t=5,sysadmin_inst_pomdp_8_s=40_t=5,400,[400],,15865.108801603317,36.7506639957428,267.99587931967903
sysadmin_inst_pomdp_8_s=40_t=6,sysadmin_inst_pomdp_8_s=40_t=6,480,[480],,27798.826847076416,43.314637660980225,327.9408895278548
